bedtime,wakeup_time,bedtime_minutes,wakeup_minutes,sleep_duration,caffeine_intake,exercise_duration,screen_time_before_bed,stress_level,mood,sleep_interruptions,sleep_quality
23:29,07:20,1409,440,7.37,Low,8,37,5,Neutral,Yes,Average
22:53,09:42,1373,582,10.75,None,26,22,5,Happy,No,Good
22:58,09:01,1378,541,10.1,Moderate,41,53,3,Happy,No,Good
01:54,08:58,114,538,6.91,Low,24,117,5,Neutral,No,Average
23:46,05:49,1426,349,6.13,Low,10,117,7,Happy,No,Average
23:07,09:55,1387,595,10.83,None,0,45,4,Happy,No,Good
00:50,07:38,50,458,7.18,Low,47,133,3,Neutral,No,Good
01:40,05:59,100,359,4.59,Low,20,46,4,Neutral,No,Average
00:01,06:35,1,395,7.18,None,22,67,6,Sad,No,Average
23:35,09:56,1415,596,10.43,Moderate,3,51,7,Neutral,No,Average
00:16,06:15,16,375,5.74,None,57,4,5,Happy,No,Average
22:29,09:40,1349,580,11.0,Low,39,72,4,Happy,No,Good
23:17,06:55,1397,415,7.25,None,24,6,2,Happy,No,Good
00:00,09:57,0,597,9.88,Moderate,12,112,6,Neutral,No,Average
00:09,09:42,9,582,9.51,None,40,10,4,Happy,No,Good
22:42,05:16,1362,316,6.12,Low,6,102,2,Neutral,Yes,Average
00:04,09:52,4,592,9.36,Low,74,12,5,Happy,No,Good
22:54,09:44,1374,584,10.53,Low,72,16,7,Happy,No,Good
01:40,05:21,100,321,3.13,None,2,75,2,Sad,No,Average
00:27,05:08,27,308,4.37,None,41,164,4,Happy,No,Average
00:38,07:42,38,462,6.28,Low,35,174,3,Neutral,No,Good
22:59,09:32,1379,572,11.29,None,11,33,5,Happy,No,Good
01:22,05:46,82,346,5.33,Low,11,105,5,Happy,No,Poor
23:52,08:01,1432,481,8.87,Low,11,33,3,Neutral,No,Good
23:16,05:41,1396,341,6.8,None,1,78,3,Happy,Yes,Average
00:39,06:28,39,388,5.84,Low,3,155,1,Happy,No,Average
23:17,08:13,1397,493,9.31,Low,78,23,6,Anxious,No,Good
01:17,05:35,77,335,3.94,Moderate,62,151,6,Happy,Yes,Poor
00:28,06:43,28,403,5.93,None,3,91,5,Sad,No,Poor
22:45,09:47,1365,587,10.36,Low,37,99,2,Sad,No,Good
23:38,09:32,1418,572,9.3,None,34,126,4,Neutral,No,Good
23:08,08:38,1388,518,9.34,Low,29,73,6,Anxious,No,Average
01:12,05:57,72,357,4.37,Low,23,73,6,Neutral,No,Poor
01:07,07:42,67,462,6.39,Low,49,28,4,Neutral,No,Good
01:39,05:51,99,351,4.42,None,29,74,1,Neutral,No,Average
00:30,09:58,30,598,9.62,Low,11,57,4,Anxious,No,Good
22:18,08:49,1338,529,10.26,High,40,4,4,Sad,No,Good
23:42,07:33,1422,453,7.85,High,73,71,3,Anxious,No,Good
01:43,05:06,103,306,3.22,High,0,34,3,Neutral,Yes,Poor
